model,feature_set,n_features,ic_mean,ic_std,rmse_mean,rmse_std
LASSO,all_features,332,0.13339639464108233,0.09585783775818126,0.5155904024880753,0.07780937890557338
LASSO,lasso_selected,233,0.1518773258093194,0.09301468405588274,0.5079617763756626,0.07255611319465245
LightGBM,all_features,332,0.09507262242177743,0.05762041473980352,0.5141486418795199,0.054040087938737366
LightGBM,lgbm_selected,100,0.06799237709956944,0.04656742822704215,0.5237542234804403,0.05656859052146198
LASSO,lgbm_selected,100,0.11528999457880675,0.07991342916774742,0.5040974126533811,0.06381369844499128
LightGBM,lasso_selected,233,0.1063620964381667,0.058554157311653574,0.5114659553629708,0.0515993608024665
LASSO,intersection,70,0.12589851292977938,0.07898329193006537,0.4986936508490031,0.05967338491308302
LightGBM,intersection,70,0.08873691944782172,0.048254360311213274,0.5184182969289649,0.05350882137705954
