model,rmse,mae,r2,ic_pearson,ic_spearman,top_90_coverage_pct,top_90_mean_return,top_99_coverage_pct,top_99_mean_return,fit_seconds
LightGBM,0.4165082363389429,0.33467350659733563,0.3644568995873788,0.6347027523039733,0.6371945058284738,10.0,0.56901538836306,1.0,0.6415354930012501,6.430534916988108
Lasso,0.5102601833343638,0.41034155719902277,0.04614758847205502,0.23206784308608097,0.24135128603094388,10.0,0.20571147294325498,1.0,0.28857881048090006,0.7812921669974457
LinearRegression,0.5147721274683204,0.41427301736755917,0.02920424598927207,0.22308244668015298,0.2396063461312189,10.0,0.17446851359948504,1.0,0.35536219564240007,0.1241872500104364
NeuralNetwork,0.5478140904230477,0.44202989322467695,-0.0994214800335691,0.20545065947081687,0.2142848910525741,10.0,0.20098341195717,1.0,0.20035015548450003,0.8690227500046603
