model,val_rmse_mean,val_rmse_std,val_mae_mean,val_mae_std,val_r2_mean,val_r2_std,val_ic_pearson_mean,val_ic_pearson_std,val_ic_spearman_mean,val_ic_spearman_std,val_bottom_1%_ic_pearson_mean,val_bottom_1%_ic_pearson_std,val_bottom_1%_ic_spearman_mean,val_bottom_1%_ic_spearman_std,val_bottom_5%_ic_pearson_mean,val_bottom_5%_ic_pearson_std,val_bottom_5%_ic_spearman_mean,val_bottom_5%_ic_spearman_std,val_bottom_10%_ic_pearson_mean,val_bottom_10%_ic_pearson_std,val_bottom_10%_ic_spearman_mean,val_bottom_10%_ic_spearman_std,val_top_10%_ic_pearson_mean,val_top_10%_ic_pearson_std,val_top_10%_ic_spearman_mean,val_top_10%_ic_spearman_std,val_top_5%_ic_pearson_mean,val_top_5%_ic_pearson_std,val_top_5%_ic_spearman_mean,val_top_5%_ic_spearman_std,val_top_1%_ic_pearson_mean,val_top_1%_ic_pearson_std,val_top_1%_ic_spearman_mean,val_top_1%_ic_spearman_std,val_bottom_1%_mean_mean,val_bottom_1%_mean_std,val_bottom_1%_std_mean,val_bottom_1%_std_std,val_bottom_1%_count_mean,val_bottom_1%_count_std,val_bottom_5%_mean_mean,val_bottom_5%_mean_std,val_bottom_5%_std_mean,val_bottom_5%_std_std,val_bottom_5%_count_mean,val_bottom_5%_count_std,val_bottom_10%_mean_mean,val_bottom_10%_mean_std,val_bottom_10%_std_mean,val_bottom_10%_std_std,val_bottom_10%_count_mean,val_bottom_10%_count_std,val_top_10%_mean_mean,val_top_10%_mean_std,val_top_10%_std_mean,val_top_10%_std_std,val_top_10%_count_mean,val_top_10%_count_std,val_top_5%_mean_mean,val_top_5%_mean_std,val_top_5%_std_mean,val_top_5%_std_std,val_top_5%_count_mean,val_top_5%_count_std,val_top_1%_mean_mean,val_top_1%_mean_std,val_top_1%_std_mean,val_top_1%_std_std,val_top_1%_count_mean,val_top_1%_count_std,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,train_r2_mean,train_r2_std,train_ic_pearson_mean,train_ic_pearson_std,train_ic_spearman_mean,train_ic_spearman_std,train_time_mean,train_time_std,train_time_total
LinearRegression,0.512201975819833,0.0027517142687450225,0.41038039477901894,0.004269147965824525,0.031817277023497875,0.015876626942961426,0.23821567777334973,0.018520145433640847,0.24391752973586117,0.022123479721399684,-0.26570741877687676,0.17298297260645448,-0.1727442321373626,0.20639890642766995,0.05714372299623933,0.08929036738636556,0.1273924214426343,0.08709346618535788,0.08218929719053819,0.0763745113894539,0.10759194187312693,0.0704868882886714,0.016081162584714384,0.04758553982665513,0.007868872159272716,0.08251400752099569,0.06144907115566838,0.06020627496324839,0.07408911165634328,0.042833783225940295,0.05102847248308967,0.17000812546459448,0.0315456297363194,0.15797469029926403,-0.3786347616874125,0.1115959836295495,0.5650336235411789,0.13400418675198314,20.0,0.0,-0.25335807933124754,0.01839032989845749,0.5623717245128055,0.05096750862776812,100.0,0.0,-0.21753021694441999,0.018475920164165997,0.5416397379946867,0.029386125128128958,200.0,0.0,0.21034776876514377,0.02985076693192635,0.47200818379467346,0.008728525507563603,200.0,0.0,0.196947731554095,0.055516608035589346,0.4964579631059791,0.014814602598850916,100.0,0.0,0.250352930287425,0.12609914045065787,0.44927890131437764,0.0650766719313579,20.0,0.0,0.48073688926636793,0.0012575626947590325,0.3874066054340723,0.0021052338846714123,0.1476832545073209,0.002533609129206571,0.3842816514246328,0.0032964959696517022,0.3741804207281158,0.004691646098124394,0.08015072345733643,0.008598785647640213,0.3206028938293457
Ridge,0.5115540959497202,0.00251412312690226,0.4099586456088392,0.004143111389808575,0.034267817590183824,0.01539173631931124,0.24023448987635238,0.018176282153318145,0.24569903511922048,0.021778804180746736,-0.23660657304294952,0.14648637923435487,-0.13849045690530148,0.18259874624187908,0.06561410955617973,0.0944471560236967,0.1252449877284467,0.10869958976956876,0.08566016195989541,0.08196573814320422,0.10149546872619689,0.07821757741071118,0.022236769166354704,0.02956653874505502,0.012643302967103004,0.057020643067549795,0.07666666439481536,0.0502429663694866,0.09387959972522475,0.013562914847434125,0.0055390016301748255,0.2894496681226057,0.016902388878495586,0.27014224519128843,-0.3818115596841,0.1200997743276456,0.5720244560940037,0.13046417479503503,20.0,0.0,-0.2566972485893225,0.011546733213644718,0.5631044333807107,0.05117581346536599,100.0,0.0,-0.22028364052989252,0.021124530005795884,0.541386135672561,0.02822776085808607,200.0,0.0,0.20905600176382128,0.03382197993131292,0.47372317028284916,0.008838221729659574,200.0,0.0,0.1922407183706125,0.059044498820008715,0.4993256976200856,0.011944697032140794,100.0,0.0,0.2582481612501375,0.1016256808599878,0.4233410706550498,0.020376767385260234,20.0,0.0,0.4808096212132036,0.0012530295052649134,0.3874262800372428,0.00207700166719597,0.14742552882944407,0.0024536119897957138,0.38395224858826227,0.0031958754138115704,0.3736978120193182,0.004572202245549977,0.016672849655151367,0.0023125259431713762,0.06669139862060547
Lasso,0.5055482767432572,0.004901211478271059,0.4023834704910844,0.0059366032690378705,0.056984272978004735,0.004750455574898606,0.2411943880045031,0.01047590417961614,0.24127600011062472,0.009120597320240394,0.15839271022094428,0.2897152649176558,0.13542296520771874,0.24859796304024412,0.0258305106546099,0.10209813656920312,-0.01053322004041434,0.07820739691117172,0.09598476876676879,0.06853770698152185,0.09892238719525236,0.0870365911496648,0.05194434206240989,0.02834005803644022,0.07725969207800423,0.043481127674380754,-0.032095852589936,0.03393027204349022,-0.023558830977905502,0.031046026779659702,0.056081158821666005,0.11571718878232877,0.11809092955846322,0.14043911822685662,-0.3226587755116625,0.06359813376998087,0.5605534809469418,0.07722486874242429,20.0,0.0,-0.264002219442085,0.035968546999753236,0.5432304349280471,0.048364971018446216,100.0,0.0,-0.2129139552075775,0.0226016978834202,0.5439233034290729,0.024866183192233916,200.0,0.0,0.218193448005275,0.026338548022375622,0.4702433319540983,0.015867724909798698,200.0,0.0,0.2621652431034975,0.028216699927945534,0.4658518829287636,0.00975961420633995,100.0,0.0,0.190979152454975,0.0557479964533973,0.44786555703449604,0.06962831153058155,20.0,0.0,0.4998361226757104,0.001176719483052509,0.3979497836828914,0.0018074403310822612,0.07860986272505605,0.003704024374444343,0.2890367423329051,0.007172662805377344,0.28544700128627537,0.005744234924437683,0.0807378888130188,0.021171966062775386,0.3229515552520752
LightGBM,0.438233410662462,0.006881877589058515,0.3504810406564063,0.0060054694792492985,0.29129664069604677,0.01736829055993532,0.5567823187297463,0.018853420881430025,0.5514268408272123,0.018034316583862814,0.35199596418740564,0.23582502298949426,0.29052038196206703,0.2505991785379419,0.2801168578014192,0.0728448580399634,0.2489726308911906,0.06768281444514311,0.2932143927724853,0.01900769750461251,0.29285533860933155,0.039922051454759105,0.20990744807389394,0.03130433548523163,0.21233412173733957,0.023309430094303578,0.20126010753982934,0.08834082183714671,0.18097991723994356,0.10621830705927665,0.21165986301860162,0.19033433051698964,0.15772357557374744,0.22324187342946922,-0.828635111910475,0.032060589196018445,0.34916274804255015,0.04038648642246155,20.0,0.0,-0.6000475714596825,0.035529372266651905,0.4280263734993169,0.0191237793443661,100.0,0.0,-0.511406205544875,0.04023279907271229,0.44117034372631514,0.016572010845560696,200.0,0.0,0.48615801965540384,0.014943762141350805,0.39089997849356956,0.015896856648586036,200.0,0.0,0.5434304667332625,0.014455888031208779,0.3626417703134717,0.026050586644770588,100.0,0.0,0.6693012381492252,0.030304875922972284,0.2859207060948469,0.031176863502356295,20.0,0.0,0.12424571431091257,0.0011377526029449153,0.09667350919177287,0.00038089142422958463,0.9430599778394816,0.0012517194376158107,0.9849133401842878,0.0005926737436565964,0.9597443603854053,0.000706993280248365,5.1205360889434814,0.200168966111704,20.482144355773926
