model,rmse,mae,r2,ic_pearson,ic_spearman,bottom_1%_ic_pearson,bottom_1%_ic_spearman,bottom_5%_ic_pearson,bottom_5%_ic_spearman,bottom_10%_ic_pearson,bottom_10%_ic_spearman,top_10%_ic_pearson,top_10%_ic_spearman,top_5%_ic_pearson,top_5%_ic_spearman,top_1%_ic_pearson,top_1%_ic_spearman,bottom_1%_mean,bottom_1%_std,bottom_1%_count,bottom_5%_mean,bottom_5%_std,bottom_5%_count,bottom_10%_mean,bottom_10%_std,bottom_10%_count,top_10%_mean,top_10%_std,top_10%_count,top_5%_mean,top_5%_std,top_5%_count,top_1%_mean,top_1%_std,top_1%_count
LinearRegression,0.5147721274683204,0.41427301736755917,0.02920424598927207,0.22308244668015287,0.23960634613121892,-0.24870477491852383,-0.19319469256766064,-0.10954916767799552,-0.08536962747918372,-0.07204126058754658,-0.03336150688341804,0.07401665970472424,0.05905241563890352,0.12330808166735321,0.10186872042697784,0.021029926099440422,0.22316924357580162,-0.11013694341869999,0.5418624063320995,20,-0.16407966322318,0.5685902926248312,100,-0.176951031377615,0.5393502411699616,200,0.17446851359948504,0.5392295839927268,200,0.18611546441399,0.5036296373230557,100,0.35536219564240007,0.3480869268906592,20
Ridge,0.5145702490689857,0.41424765640760103,0.029965531432433745,0.2232184282491348,0.23910350566128638,-0.1825947626244664,-0.04260243987478147,-0.11199024717572051,-0.08025643436567498,-0.08287785535810144,-0.04296970377026477,0.068184916776303,0.03115467517472338,0.12832512377958094,0.0971127878368438,0.02298090957003659,0.23448942259776256,-0.0584662633662,0.49892837783379784,20,-0.15891259521790999,0.5723929620539027,100,-0.17953456538023002,0.5446580008887772,200,0.184802649610005,0.5332784713549173,200,0.20328009278886,0.4850099950050815,100,0.35536219564240007,0.3480869268906592,20
Lasso,0.5106737762386363,0.40769264230776775,0.044600665994997124,0.2125225134427465,0.21439445403494398,0.15634659895543698,0.1560586718004197,0.09722143399171268,0.0778918116385307,0.05495020460476777,0.05995650781736043,0.09300838844354928,0.11095721781885148,0.08187640429393843,0.13773001697629011,-0.4236212311881678,-0.43145837831241046,-0.21499984200609998,0.502998053664794,20,-0.15502045266481,0.6173620246144744,100,-0.15998906496316,0.5532472716403863,200,0.23301178162180503,0.4525570082552075,200,0.25495077284152,0.43040450223329874,100,0.37486497094245,0.3925944635441688,20
LightGBM,0.42035942644958396,0.33817968341041993,0.35264962767149677,0.6253262805907591,0.6279439512566976,-0.0049372320482650375,0.169645662022252,0.2550210874752649,0.22230302490499007,0.27771762228583263,0.2520867957138999,0.21780082957157215,0.24515335569669847,-0.045728216422272955,-0.03364216687819325,-0.47633699540656566,-0.5245005291800193,-0.82103587995705,0.37410292376898885,20,-0.60439539920831,0.3683408293561299,100,-0.522726611978355,0.3799978489481193,200,0.5417274759160301,0.40996687540362226,200,0.6570119045541902,0.3623787151218171,100,0.7015232948494001,0.3394808658274658,20
