model,fold,train_time,train_rmse,train_mae,train_r2,train_ic_pearson,train_ic_spearman,val_rmse,val_mae,val_r2,val_ic_pearson,val_ic_spearman,val_bottom_1%_ic_pearson,val_bottom_1%_ic_spearman,val_bottom_5%_ic_pearson,val_bottom_5%_ic_spearman,val_bottom_10%_ic_pearson,val_bottom_10%_ic_spearman,val_top_10%_ic_pearson,val_top_10%_ic_spearman,val_top_5%_ic_pearson,val_top_5%_ic_spearman,val_top_1%_ic_pearson,val_top_1%_ic_spearman,val_bottom_1%_mean,val_bottom_1%_std,val_bottom_1%_count,val_bottom_5%_mean,val_bottom_5%_std,val_bottom_5%_count,val_bottom_10%_mean,val_bottom_10%_std,val_bottom_10%_count,val_top_10%_mean,val_top_10%_std,val_top_10%_count,val_top_5%_mean,val_top_5%_std,val_top_5%_count,val_top_1%_mean,val_top_1%_std,val_top_1%_count
LinearRegression,1,0.10003495216369629,0.4621961691941149,0.374691474907095,0.336795505496745,0.5803408528586843,0.5717418214252992,0.6634393605992137,0.5368891504917044,-0.6178760435849988,-0.029181347111820258,-0.03951628820871909,0.21122026169170716,0.28982817720300946,-0.06588597727611017,-0.1871537568416359,-0.02384630019423046,-0.04503426589928022,0.0714080116970308,-0.012289559637703236,0.1785044218045245,0.09344085435032143,0.007603539509327038,-0.147179668860952,0.064588350065875,0.574777159988179,16,-0.024136444197974984,0.5352654635028762,80,-0.008896681919093746,0.5158818251793695,160,-0.01986738647026875,0.5363508182395959,160,-0.021455785468637495,0.5583748468841866,80,0.250437694355375,0.5748274347318862,16
LinearRegression,2,0.04981708526611328,0.49381493610351623,0.403885435092986,0.17931196470932187,0.4234524350022346,0.41547266094659924,0.5547766905703851,0.4322227341999886,-0.13092255665970454,0.1367907917527701,0.16987141014545587,-0.6327654934402168,-0.32993966052272805,-0.2117531984990704,0.055977502361319875,-0.03453874588535502,0.19573270874103357,-0.1270526657931279,-0.061137474442249456,-0.11440171413281691,-0.07589253020253564,-0.006156080238819063,-0.15517540734187352,-0.3851019822261875,0.7474395493128182,16,-0.249825800441375,0.5836780853640582,80,-0.15390428513758125,0.5579935408757862,160,0.09362549509628126,0.5346793267968061,160,0.0380858911269,0.5819699594871988,80,-0.123162917326125,0.5905205783751707,16
LinearRegression,3,0.06944918632507324,0.493229130504678,0.401723521054524,0.15813204602071773,0.3976582025065215,0.3859379339785967,0.46477349289630115,0.3712231464627193,-0.047390589873698596,0.17677398149056303,0.1819873171506707,0.24449561672120582,0.196706643259812,0.03658742465310311,0.024824847787280536,0.08464453270148249,0.10260240947899202,0.020439462794780143,-0.014864785317609656,0.11453235566879308,0.10491751079705958,-0.18399323556668476,-0.38297923634016406,-0.1803617565509375,0.5417238734685333,16,-0.17926423900287497,0.49704739329418873,80,-0.14428940524055,0.5083033996552185,160,0.10394799620268125,0.4306331571892295,160,0.08566375091401249,0.439206305435178,80,0.19925263793668752,0.3571674755341333,16
LinearRegression,4,0.08916807174682617,0.4806904126220358,0.3892545320422967,0.1390005532995564,0.37282777967790487,0.3628148379738247,0.4473374727421512,0.34869337638346065,-0.041887148069464475,0.18505589019253546,0.23835648753233774,0.15191173810235728,-0.23731619345864868,-0.3614294919454554,-0.39725705748322493,-0.3627857229773485,-0.2966286344900676,0.01315202206353451,-0.0699355613627987,0.12789773165106907,0.07366858902433597,0.35549490479302503,0.30633976112742206,0.27724428164950005,0.3854957674587601,16,-0.026932857574112505,0.45434691574789127,80,-0.13271206459201873,0.4286302493586653,160,0.1803617565506875,0.4038151901073005,160,0.1814592740985,0.4116127487345796,80,0.2638409880025625,0.40546841033759745,16
Ridge,1,0.012033700942993164,0.46323581049942497,0.37592598799825966,0.33380859089133863,0.5778539681822438,0.5690608052539935,0.6528685275869949,0.529244347979174,-0.5667303028402533,-0.02265675186761182,-0.033525083953892885,0.15471577466089834,0.2047293310029672,0.013556111933390347,-0.015547158664834547,0.01755897294834835,0.0241440713871311,0.04414690847539021,-0.046909537424464964,0.16617864120780254,0.08688404640932146,-0.07754044917805654,-0.3585378400058345,0.0134032936469375,0.5407792805923372,16,-0.013899432914237508,0.5149422125197574,80,-0.014015187561012504,0.5084167611761901,160,-0.010179133960387504,0.5381746561191378,160,-0.027914620475225,0.5610712239084489,80,0.26932857574137503,0.5880813522944156,16
Ridge,2,0.008181095123291016,0.4941035163704092,0.4041103685001076,0.17835248148311422,0.4223327764918915,0.41452786323863805,0.5531835486247517,0.43215629661302674,-0.12443658416067871,0.14050509987765042,0.17054075649175007,-0.5733368645704765,-0.0060681332082727505,-0.14588382062180555,0.10605020019246916,-0.009386155808296437,0.16665965454087958,-0.06751739136531365,-0.028257751015783313,-0.0764020254983864,-0.10607977944901432,0.26359615451295065,0.18688779452434498,-0.3766075030845625,0.6833970269086014,16,-0.2266711191444625,0.5802196840004691,80,-0.15658494386694374,0.5676667261433235,160,0.08771541886365002,0.5418375835973955,160,0.06124057242386251,0.5814621442508873,80,-0.15545709235906252,0.5969952847226031,16
Ridge,3,0.012833118438720703,0.4933800062453358,0.4017170729187102,0.15761692284504847,0.39702505926318604,0.3853269084376564,0.46397925692382813,0.3705310344498885,-0.043813946565071094,0.17701391686635692,0.18172453334445265,0.40536397114403566,0.4801703913739849,0.06224041232735121,0.014320256826705638,0.055577604365879454,0.03774076324311553,0.008482670186251564,-0.027740612020666765,0.08438664227874912,0.06367964137213027,-0.2759538539437235,-0.5213498121208691,-0.1803617565509375,0.5099916816693144,16,-0.1728054039962875,0.4959765588655598,80,-0.15586674588903124,0.5090080471786909,160,0.107177413705975,0.4278953633669355,160,0.0948032446499375,0.45787387529157614,80,0.231546812969625,0.36103034853692284,16
Ridge,4,0.015446901321411133,0.48078516424614526,0.3892663145823417,0.13866108683945255,0.3723811411601393,0.36242728524689516,0.4460177593820593,0.34783226349319335,-0.035748765954493056,0.18987184297464654,0.2423688207359056,0.260992239518087,-0.0611312049730192,-0.36768105975402593,-0.4118830068409862,-0.34668296984236985,-0.2644731919011117,0.007550089203312925,-0.08007441748580728,0.15685665650817948,0.13264812528268238,0.5151963337052232,0.5361132967823077,0.3095384566824375,0.3825492675820312,16,-0.03716986885790001,0.4555040763538737,80,-0.12948264708872498,0.4276703927918692,160,0.19005000906056874,0.3950953543116515,160,0.1750004390919125,0.4103535614850234,80,0.212655931583625,0.3832435172111985,16
Lasso,1,0.014068126678466797,0.5142089587525605,0.42634358767905023,0.1791306214718118,0.4437995937481587,0.4339181152062884,0.5545299808825194,0.45419929491881544,-0.13029768869821146,0.02376746728613619,0.026847438201018554,-0.09330537710986507,-0.18161816175563014,-0.004653355078427485,-0.011749404376029752,0.06362801266885926,0.053248403409870505,-0.14504789830202214,-0.09656410206157533,-0.1633942867539906,-0.11836203806786125,-0.31184665581653287,-0.5332129591047429,-0.1535551692565625,0.5499235658766403,16,-0.12272838075855,0.520001124038833,80,-0.06002386101455626,0.524735182324882,160,0.001097517547712494,0.5263057132040859,160,-0.043512949217637494,0.5371551280394082,80,-0.1480675815175,0.48674491209756227,16
Lasso,2,0.027745962142944336,0.522189338521115,0.42720988671707333,0.08228958609523018,0.29837985966554126,0.29034412189138603,0.5132041272075423,0.40522155997451753,0.032219792456220975,0.20067075563722941,0.21904681767491188,-0.36951451578315575,-0.13533402313254456,-0.19132517876477534,-0.1507417380447181,-0.061275125781400964,-0.005195214914503818,-0.015534432310995164,0.04859133557408107,-0.1170553163867203,-0.10105657816363087,0.04594558663862486,0.05854780916932159,-0.1907581587948125,0.5743814182175321,16,-0.238987410877025,0.5469560753486955,80,-0.20748480643495001,0.5391464069932782,160,0.15409341239730626,0.4919949719357486,160,0.1821764070259625,0.5069510541290777,80,2.5000834735777744e-13,0.4661867424910557,16
