feature,coefficient,abs_coefficient
X26,0.006338773545366116,0.006338773545366116
X284,-0.0063136360303802,0.0063136360303802
X186,-0.006253622788028229,0.006253622788028229
X62,0.005941818220980493,0.005941818220980493
X39,-0.005882936683918366,0.005882936683918366
X21,0.005882482259400005,0.005882482259400005
X4,0.005855269839778495,0.005855269839778495
X237,0.005813725606433916,0.005813725606433916
X37,0.005778496975081424,0.005778496975081424
X50,-0.0056574928683719395,0.0056574928683719395
X55,0.005621771891345655,0.005621771891345655
X28,0.00553482795438305,0.00553482795438305
X78,-0.00541310559424323,0.00541310559424323
X64,0.005242650341379294,0.005242650341379294
X25,-0.0052202068032295695,0.0052202068032295695
X107,-0.005200547663158616,0.005200547663158616
X86,-0.005159896971814525,0.005159896971814525
X155,0.005129614856397753,0.005129614856397753
X15,-0.004927580436696503,0.004927580436696503
X53,-0.0047191405708014,0.0047191405708014
X305,-0.004632495843103435,0.004632495843103435
X314,-0.004583187511227532,0.004583187511227532
X49,0.004563270684070577,0.004563270684070577
X117,0.004537071964457162,0.004537071964457162
X96,-0.004519990564490427,0.004519990564490427
X70,0.004412630154716665,0.004412630154716665
X9,0.004393291542594196,0.004393291542594196
X48,-0.004360484670200275,0.004360484670200275
X118,0.004217378884361982,0.004217378884361982
X42,0.004172615147569697,0.004172615147569697
X296,0.004096560363886441,0.004096560363886441
X328,0.004042892162076484,0.004042892162076484
X309,0.004011885208603279,0.004011885208603279
X24,0.004007556554338044,0.004007556554338044
X13,-0.00395658005865558,0.00395658005865558
X30,0.003943523102794566,0.003943523102794566
X147,0.003912575867347908,0.003912575867347908
X98,0.0038994174470506956,0.0038994174470506956
X19,-0.0038862436590598203,0.0038862436590598203
X8,0.003798015034909627,0.003798015034909627
X79,-0.003500882650563153,0.003500882650563153
X124,0.003433938157356682,0.003433938157356682
X47,0.003414111517347571,0.003414111517347571
X61,-0.0032935009310419263,0.0032935009310419263
X97,-0.003244088616267531,0.003244088616267531
X129,0.003208638001656224,0.003208638001656224
X288,-0.003129189756225081,0.003129189756225081
X317,-0.0030830163310431135,0.0030830163310431135
X172,0.0029719516566742675,0.0029719516566742675
X73,0.0029698812765250686,0.0029698812765250686
X211,-0.002959395816566375,0.002959395816566375
X1,-0.0029336375791772355,0.0029336375791772355
X242,0.002895457987780422,0.002895457987780422
X286,-0.00281794391838812,0.00281794391838812
X65,-0.002790652597381826,0.002790652597381826
X66,0.0027861505498605996,0.0027861505498605996
X54,0.002772587010648928,0.002772587010648928
X115,0.0027679182667589113,0.0027679182667589113
X63,0.0026804574070914858,0.0026804574070914858
X204,0.0026714818022828394,0.0026714818022828394
X18,0.0025546647498626697,0.0025546647498626697
X51,-0.0025185585655327653,0.0025185585655327653
X289,-0.0024905250070623454,0.0024905250070623454
X110,-0.0024429680074839646,0.0024429680074839646
X312,-0.002432908805219363,0.002432908805219363
X67,0.0023849392320822514,0.0023849392320822514
X161,0.0023576419791884644,0.0023576419791884644
X80,0.0022970200837863276,0.0022970200837863276
X83,-0.0022628634989440783,0.0022628634989440783
X22,0.0022185469573879216,0.0022185469573879216
X38,-0.002199702086356193,0.002199702086356193
X198,-0.0021887346036318124,0.0021887346036318124
X208,0.002118602035261737,0.002118602035261737
X41,-0.0019941784967397757,0.0019941784967397757
X6,-0.001955413990483002,0.001955413990483002
X7,-0.0019519172038381628,0.0019519172038381628
X102,-0.0019458853508794714,0.0019458853508794714
X199,-0.0019375419964174265,0.0019375419964174265
X241,-0.0018952771840871434,0.0018952771840871434
X203,0.0018358974792316391,0.0018358974792316391
X297,0.0016623408294878742,0.0016623408294878742
X254,0.0016598850231381796,0.0016598850231381796
X315,-0.0016560662089313495,0.0016560662089313495
X271,-0.0015471981837093703,0.0015471981837093703
X103,-0.001499492543945637,0.001499492543945637
X59,0.0014556912386197002,0.0014556912386197002
X12,0.0013907788352428001,0.0013907788352428001
X14,-0.0013676273751661132,0.0013676273751661132
X46,0.0013569112511515773,0.0013569112511515773
X44,0.0012784057808981888,0.0012784057808981888
X36,0.0012042893090292966,0.0012042893090292966
X2,0.0011900125016239685,0.0011900125016239685
X16,-0.0011387332288087767,0.0011387332288087767
X34,0.001132085700780386,0.001132085700780386
X275,0.0011234149780415994,0.0011234149780415994
X310,-0.0009590004047836583,0.0009590004047836583
X68,-0.0008902497018918072,0.0008902497018918072
X134,-0.0008006686114888728,0.0008006686114888728
X205,0.0007892696821222404,0.0007892696821222404
X265,-0.0007796489014430085,0.0007796489014430085
X20,-0.0007647714613709233,0.0007647714613709233
X278,0.0006138149092917037,0.0006138149092917037
X303,-0.0005828652836026754,0.0005828652836026754
X316,-0.00039871291039888205,0.00039871291039888205
X77,-0.00036402124029881727,0.00036402124029881727
