alpha,fold_1,fold_2,fold_3,fold_4
1e-05,0.27834656215615067,0.22643050781548446,0.2505309341986439,0.22416114331588438
5e-05,0.27931104419765157,0.22940967425962075,0.2525898523873474,0.2255712662380402
0.0001,0.2808346600770829,0.2326945242589098,0.25427791287981394,0.22717479716045091
0.0005,0.28436505211170293,0.2505590288948208,0.2578804004971327,0.23085033885723302
0.001,0.284939688976846,0.2556173400645434,0.25524761159771253,0.23021559480667184
0.005,0.2745987458542001,0.25340756970208567,0.24693777587407234,0.23403508896981387
0.01,0.25610880622179555,0.24075715000761572,0.23635678561606951,0.23188125859701808
0.05,0.18454098507070021,0.15901270134857617,0.1864322137871452,0.17178382019120933
0.1,,,,
0.5,,,,
1.0,,,,
5.0,,,,
10.0,,,,
