alpha,fold_1,fold_2,fold_3,fold_4
1e-05,0.31084737995510775,-0.567143527929629,0.2724085761074337,0.25500578537178864
5e-05,0.15035975251264722,-0.5943783610999529,0.3217706013909778,0.1652261215602858
0.0001,0.16268363235759048,-0.5646850652758588,0.39963331117987766,0.18376839729817124
0.0005,0.004784630244783969,-0.4108763631050937,0.26398619112215593,0.3679329503245295
0.001,0.09595490486166133,-0.4643265958988582,0.2758594589177351,0.31810707527521714
0.005,0.04059681310182238,-0.453268281070732,-0.1353235322103739,0.10467377599921493
0.01,-0.09330537710986507,-0.36951451578315575,-0.037741388340126636,0.12991224333634885
0.05,0.038361812448000854,-0.06838158122875787,0.06386861229622529,0.3634354107109507
0.1,0.0,,,
0.5,0.0,,,
1.0,0.0,,,
5.0,0.0,,,
10.0,0.0,,,
