alpha,fold_1,fold_2,fold_3,fold_4
1e-05,0.04013789733078181,-0.04099666934003104,0.08730305863539511,-0.011472710096614637
5e-05,0.037036107333905374,-0.028244344120205357,0.07270942155155526,0.0005270977915899288
0.0001,0.02971186034105623,-0.002374359922179936,0.07376383610018727,-0.0041195961474536046
0.0005,0.10915507372249153,0.09531174026333547,0.03301150372294663,0.004626406475970926
0.001,0.11935421697514031,0.08769270161355855,0.00885026694571649,0.01604175858804703
0.005,0.06408594444257909,0.10231335175483827,0.031362921572594495,-0.009778896872901769
0.01,0.036910930834748654,0.05713301108877508,0.09501936932304943,0.018714057003066383
0.05,0.07036039866418695,0.0944184314555187,0.007529424766729048,0.01678769842036515
0.1,,,,
0.5,,,,
1.0,,,,
5.0,,,,
10.0,,,,
