alpha,fold_1,fold_2,fold_3,fold_4
1e-05,-0.0007382250828699716,0.1346349250119811,-0.06756307280088367,0.1625195546852803
5e-05,-0.011802169272616517,0.14815396471911774,0.01193893655639671,0.1326470752655313
0.0001,0.025001565385294702,0.14023014370585024,0.039633553373335836,0.16467197382106444
0.0005,0.016713783943910845,0.17420629068143714,0.09960215203867531,0.14733709348669044
0.001,0.041059187597101074,0.14348894685267546,0.07503595533642315,0.0887266097878543
0.005,0.10063455915445571,0.1643408385118848,0.12463667315424805,0.029379293812325874
0.01,-0.007425034722441692,0.14160675440904844,0.09361422415861063,-0.1244739012267778
0.05,-0.04850954394104357,-0.0008802198605395552,-0.05516046949582781,0.019248481724011543
0.1,,,,
0.5,,,,
1.0,,,,
5.0,,,,
10.0,,,,
