alpha,fold_1,fold_2,fold_3,fold_4
1e-05,0.12821226733413352,0.08771281111920294,0.012076901185877016,-0.01439289518615918
5e-05,0.14572344371615817,0.1084140452256668,0.021874600791319428,0.02245088243635754
0.0001,0.15689711061939782,0.1315631526467934,0.01787728371597637,0.017567834578378405
0.0005,0.1432569603568412,0.038665984923252975,0.05998483586392886,-0.012324156763783395
0.001,0.07264402325028607,0.05488783921980539,0.08542688111888447,-0.016507464453340004
0.005,0.07865003760526064,0.0362573191428589,0.1113926094541508,0.04380470113698466
0.01,0.016539309019719072,-0.07910168169470255,-0.029115840532464528,-0.03670519715229597
0.05,-0.035100600446739544,-0.04099476875261074,-0.0020588580789601234,-0.01725272453245048
0.1,,,,
0.5,,,,
1.0,,,,
5.0,,,,
10.0,,,,
