model,fold,train_time,train_rmse,train_mae,train_r2,train_ic_pearson,train_ic_spearman,val_rmse,val_mae,val_r2,val_ic_pearson,val_ic_spearman,val_bottom_1%_ic_pearson,val_bottom_1%_ic_spearman,val_bottom_5%_ic_pearson,val_bottom_5%_ic_spearman,val_bottom_10%_ic_pearson,val_bottom_10%_ic_spearman,val_top_10%_ic_pearson,val_top_10%_ic_spearman,val_top_5%_ic_pearson,val_top_5%_ic_spearman,val_top_1%_ic_pearson,val_top_1%_ic_spearman,val_bottom_1%_mean,val_bottom_1%_std,val_bottom_1%_count,val_bottom_5%_mean,val_bottom_5%_std,val_bottom_5%_count,val_bottom_10%_mean,val_bottom_10%_std,val_bottom_10%_count,val_top_10%_mean,val_top_10%_std,val_top_10%_count,val_top_5%_mean,val_top_5%_std,val_top_5%_count,val_top_1%_mean,val_top_1%_std,val_top_1%_count
Lasso_alpha_1.00e-05,1,16.423907041549683,0.48057331692185223,0.38633207410998194,0.1448968920203052,0.38065445156937794,0.3684628169904412,0.5105222438774007,0.40950957141595135,0.05018916932985107,0.26430093835024604,0.27834656215615067,-0.0852351231369835,0.19078800512429675,-0.0007382250828699716,0.028939592885826274,0.0158665637078566,0.02955062374359744,0.04013789733078181,-0.018270790617932017,0.12821226733413352,0.0775978311934186,0.08740902222543621,0.0,-0.3120086373848,0.6736958818779255,20,-0.22464117141315001,0.5536395961848728,100,-0.220440514910155,0.5438890856148094,200,0.237790350720085,0.46107562402323904,200,0.21458484655513005,0.510997128666929,100,0.3939047276555,0.45235792902374866,20
Lasso_alpha_1.00e-05,2,26.380280017852783,0.48010026164901504,0.38685811117977886,0.14985406918987554,0.38711281449702484,0.3811490547478969,0.5144810397428871,0.41445276733789266,0.024114511700416008,0.22679144136489257,0.22643050781548446,-0.4727009436444261,-0.3953177511416359,0.1346349250119811,0.1839147015146972,0.12243048486901453,0.14187068559085064,-0.04099666934003104,-0.09647312124549448,0.08771281111920294,0.056445772098557376,0.36120196287862777,0.29921199766866335,-0.52882701161155,0.48156056354158056,20,-0.26027154739296,0.5684837092608885,100,-0.23449490545677001,0.5423580195499462,200,0.168128165878135,0.4747323078002602,200,0.12645846680635,0.4901547956840994,100,0.12478662994050001,0.4301057449734059,20
Lasso_alpha_1.00e-05,3,19.75940990447998,0.479514925617524,0.3854858781313223,0.1453132464359409,0.38120150334630126,0.37177056678410364,0.5142788961665208,0.4131485090087861,0.04584227532070184,0.24836125816526688,0.2505309341986439,-0.3210555335506385,-0.15301235687905512,-0.06756307280088367,0.01956253795787406,-0.002228635507472168,0.030389737597633307,0.08730305863539511,0.14146089668069883,0.012076901185877016,0.06426692996487153,-0.37992716794414827,-0.38583282404886793,-0.2149998420057,0.7133807138807481,20,-0.27444683971573,0.6376726158571372,100,-0.23560037391824998,0.5781829152293861,200,0.23370794243793,0.48831343829969837,200,0.28305644853853,0.5072801162372941,100,0.30761856719375,0.4136036063221212,20
Lasso_alpha_1.00e-05,4,19.877954959869385,0.4828456971020237,0.39093011417647866,0.1503619910957824,0.3877668972222127,0.37447691055859766,0.5081004702532054,0.40348946916344186,0.012528069316268264,0.21765352122875883,0.22416114331588438,-0.11596149142096261,-0.14013431753507077,0.1625195546852803,0.23123986944539887,0.19495966024333083,0.20945104961086486,-0.011472710096614637,-0.0007995815621421324,-0.01439289518615918,0.019972317198407703,-0.055718407046336425,0.12420771496872422,-0.44118533751675004,0.4059814180377317,20,-0.26957396281892004,0.494357091008359,100,-0.18884694601131002,0.49657804803911837,200,0.20069235253266998,0.4710884634392615,200,0.19937953772877,0.46254716517878736,100,0.2066827202108,0.3972970023009234,20
Lasso_alpha_5.00e-05,1,15.419442892074585,0.48066344905274117,0.38635758348398286,0.14457611061177478,0.3802537892323924,0.3681918538716682,0.5097943219078842,0.40902031305685876,0.05289579093187968,0.26624783062981316,0.27931104419765157,-0.01673033206819033,0.23047191019015048,-0.011802169272616517,-0.049669289214250824,0.03036055940213346,0.018168964950478365,0.037036107333905374,-0.024889643286255963,0.14572344371615817,0.1027857502586296,-0.016562611655340957,-0.23011236029367854,-0.3271213424936,0.6814636530802236,20,-0.25652159348302006,0.554311220177604,100,-0.22453531942367,0.5452950881833237,200,0.237790350720085,0.4581712255165211,200,0.20122816952283004,0.5124791071282547,100,0.46068811281700006,0.40956152804112683,20
Lasso_alpha_5.00e-05,2,19.237035989761353,0.4802960092922174,0.38701437653210213,0.14916068074165845,0.3862517295534664,0.38027523637844884,0.5130589746558962,0.4133526705301102,0.029501900621077826,0.2314359976059932,0.22940967425962075,-0.4168242935816089,-0.3801116223148743,0.14815396471911774,0.19145710445975633,0.13846128370375327,0.13959692521899644,-0.028244344120205357,-0.08128177711857107,0.1084140452256668,0.08483278352195149,0.45696955797466077,0.423474903804283,-0.5697750567467,0.4695208379673767,20,-0.28396236043576,0.5510336266047628,100,-0.24336407281512998,0.5469274522928328,200,0.168128165878135,0.47753599157180754,200,0.11962797444202,0.49556299372152407,100,0.09895128991415,0.42121491095380176,20
Lasso_alpha_5.00e-05,3,20.12374496459961,0.4796358766936268,0.38553630257986105,0.14488202598981526,0.38066276643321484,0.3709347690016847,0.5135975799522018,0.41285254316982334,0.04836873525874352,0.25037182534668556,0.2525898523873474,-0.41745274923685577,-0.31542348228402983,0.01193893655639671,0.11578569482045006,0.00018888750551373373,0.019535730257717522,0.07270942155155526,0.1218505566643295,0.021874600791319428,0.08717873618848113,-0.43343289000747715,-0.39067591389048556,-0.30761856719335007,0.6638113109788363,20,-0.23739934964063003,0.6311672288079743,100,-0.23969517843176502,0.5793985898247558,200,0.23629147644056503,0.4856962270345816,200,0.27622595617420004,0.4994286778104615,100,0.30761856719375,0.4136036063221212,20
Lasso_alpha_5.00e-05,4,15.53986930847168,0.4830034831398442,0.39094485882654734,0.14980660489153708,0.3870671483579504,0.373797567380943,0.5075886890587993,0.4029953025079608,0.014516318012922635,0.21805442406207187,0.2255712662380402,-0.16302814899263043,-0.07962177132674475,0.1326470752655313,0.16868526972082876,0.18974643764612437,0.20674214374879576,0.0005270977915899288,0.020948489018362416,0.02245088243635754,0.09311739713005628,-0.07572144233432695,0.07492897622639157,-0.44118533751675004,0.4059814180377317,20,-0.27990809882946,0.49401440204111213,100,-0.18626341200865504,0.5042157436075986,200,0.192941750524765,0.4729062402491079,200,0.17402530032691,0.48080047225883643,100,0.23251806023715002,0.39980908246328184,20
Lasso_alpha_1.00e-04,1,7.570673942565918,0.48085255680624117,0.3865514915666866,0.14390287817673197,0.37941083985893187,0.3673586308282529,0.5090282048056854,0.4085575333633172,0.055740261699320004,0.26843485134603107,0.2808346600770829,-0.08881675030616377,0.13217896629002956,0.025001565385294702,0.03643753813357979,0.062479277737626134,0.06185140242551962,0.02971186034105623,-0.0404881851169074,0.15689711061939782,0.1399580920023279,-0.03434059896403587,-0.2623123834064458,-0.40462736257265003,0.6488659927344801,20,-0.25652159348302,0.5494735757618988,100,-0.220440514910155,0.5438890856148094,200,0.24188515523360002,0.45968486951964127,200,0.19606110151755998,0.5118767397988452,100,0.46068811281700006,0.40956152804112683,20
Lasso_alpha_1.00e-04,2,8.61757493019104,0.4806465587457138,0.3872304636843848,0.14791823817592142,0.38469878321924456,0.378851032774291,0.5117701285527394,0.4124762174885363,0.034371717428758886,0.23560456776529318,0.2326945242589098,-0.15453347890697006,-0.2062976710117884,0.14023014370585024,0.15063461185489857,0.14491278734634735,0.13673226024294644,-0.002374359922179936,-0.043200806018242714,0.1315631526467934,0.10261865388819903,0.48606794044970936,0.460263264173381,-0.518104376694,0.5259860144783457,20,-0.30248610547333,0.5597184802207701,100,-0.251114674823035,0.5421828109675406,200,0.162961097872865,0.4835167984801958,200,0.10627129740971998,0.5079141395362649,100,0.09895128991415,0.42121491095380176,20
