n_estimators,learning_rate,num_leaves,subsample,colsample_bytree,ic_pearson_mean,ic_pearson_std,ic_spearman_mean,rmse_mean,rmse_std,r2_mean
500,0.05,63,0.8,0.8,0.5697600492219792,0.012432801875677432,0.5644151688102098,0.43450747450703925,0.0073523538376530735,0.30339992253398224
300,0.05,63,0.8,0.8,0.5584151459611227,0.01364279900814532,0.552856487332291,0.4384694891355304,0.007441435581058705,0.2906313911684003
500,0.05,31,0.8,0.8,0.5567823187297463,0.018853420881430025,0.5514268408272123,0.438233410662462,0.006881877589058515,0.29129664069604677
500,0.1,31,0.8,0.8,0.5549678465718251,0.019375653243222286,0.5525428234354509,0.43566873548888935,0.00798341374703918,0.299567852858023
500,0.1,63,0.8,0.8,0.5463208816611738,0.011693023485183399,0.5395998509412218,0.43907320519742216,0.006296563880937217,0.28866412404627456
300,0.1,63,0.8,0.8,0.5441431203986694,0.012277663452897268,0.5375427771167014,0.4397899254747483,0.006383408285218518,0.2863359094004469
300,0.1,31,0.8,0.8,0.5431612723605611,0.02016478841473856,0.5401396221123254,0.43973781996743994,0.00823266028817782,0.2864418874004184
300,0.05,31,0.8,0.8,0.5341439300536945,0.018240970479575624,0.5277364038699427,0.446081583306999,0.006387777699541423,0.2657025318066346
