model,fold,train_time,train_rmse,train_mae,train_r2,train_ic_pearson,train_ic_spearman,val_rmse,val_mae,val_r2,val_ic_pearson,val_ic_spearman,val_bottom_1%_ic_pearson,val_bottom_1%_ic_spearman,val_bottom_5%_ic_pearson,val_bottom_5%_ic_spearman,val_bottom_10%_ic_pearson,val_bottom_10%_ic_spearman,val_top_10%_ic_pearson,val_top_10%_ic_spearman,val_top_5%_ic_pearson,val_top_5%_ic_spearman,val_top_1%_ic_pearson,val_top_1%_ic_spearman,val_bottom_1%_mean,val_bottom_1%_std,val_bottom_1%_count,val_bottom_5%_mean,val_bottom_5%_std,val_bottom_5%_count,val_bottom_10%_mean,val_bottom_10%_std,val_bottom_10%_count,val_top_10%_mean,val_top_10%_std,val_top_10%_count,val_top_5%_mean,val_top_5%_std,val_top_5%_count,val_top_1%_mean,val_top_1%_std,val_top_1%_count
LightGBM_n_estimators=300_learning_rate=0.05_num_leaves=31_subsample=0.8_colsample_bytree=0.8,1,2.8575570583343506,0.02502194359235259,0.019435780433411817,0.9980562658769194,0.9993483252318132,0.9726709790227824,0.5833423048536824,0.48557376987949546,-0.2508053299458808,0.003282636180297926,-0.008578555293200887,-0.1842214506184706,-0.1127390084824833,0.1349139649992946,0.11806611676950612,0.20933601116483383,0.2004055930144201,0.0038823352676330136,-0.02927403606672522,0.12349258827962306,0.107713277945152,0.28818772059231956,0.21964855181251985,-0.23154681296962498,0.31139953893805916,16,-0.09749441901296249,0.4686435289816436,80,0.019867386470218754,0.5093389369468793,160,0.07458254953265625,0.49892846764970616,160,0.0624038306036375,0.484526414785494,80,0.14806758151774999,0.41252167218898217,16
LightGBM_n_estimators=300_learning_rate=0.05_num_leaves=31_subsample=0.8_colsample_bytree=0.8,2,3.036870241165161,0.09209074402216132,0.0733155790810553,0.9714581826761352,0.9921866665726,0.9685365222925825,0.5476077526117472,0.4349763688326444,-0.10188337636908673,0.09422530218801137,0.09921011863609974,0.39857763572741345,0.41943451687456895,0.3301067604698936,0.2911215416377559,0.1713748700226312,0.14772698313104307,0.07481788077229488,0.1075048787453572,-0.047981612124350134,-0.0779188682740854,0.24373195631294478,0.37377558904868996,-0.3930176881338125,0.4238791274483268,16,-0.13405239395671248,0.4806497791568952,80,-0.09469274781990626,0.5182722934954235,160,0.056043375217293766,0.5551922672135162,160,0.135412411376875,0.5464770409869427,80,0.059679535561062515,0.6862958986309512,16
LightGBM_n_estimators=300_learning_rate=0.05_num_leaves=31_subsample=0.8_colsample_bytree=0.8,3,3.093881130218506,0.14570374624794327,0.11721560881756159,0.9265337321611923,0.979785947724525,0.9641718824447553,0.4679677771601151,0.3742835389953868,-0.06183702594769991,0.1482787279071535,0.15220734607572944,-0.14689746353794306,-0.08688906734943708,0.15085448989762767,0.14665297634194133,0.1162537187984442,0.0943907886539394,0.08294605776336689,0.20189897753523145,-0.06620068484865882,-0.03185798456771641,0.20660497194831606,0.4055511930212063,-0.24495010661656252,0.3397218923380067,16,-0.098591936560725,0.457425369685861,80,-0.06867247330010001,0.4797029498539796,160,0.13252187228186876,0.45026964834789196,160,0.19667721822066253,0.5097142280214809,80,-0.010396402244124997,0.5980378610630331,16
LightGBM_n_estimators=300_learning_rate=0.05_num_leaves=31_subsample=0.8_colsample_bytree=0.8,4,3.3284032344818115,0.18336131902389466,0.14800462205061155,0.8747183683858865,0.9649633563148141,0.9547553634930616,0.45015734672673624,0.3559634148912674,-0.05506400323926863,0.14047576241363838,0.14698417895563295,-0.2853440938920793,-0.24713617387762724,-0.0006971187542641963,-0.06805548976484253,0.01998540046451748,0.0036856219491297926,0.0009905965851000065,0.036626173840782775,-0.09799327560994367,-0.07926844326929164,0.6214004073910806,0.5831000866251633,-0.2370344007086875,0.4019313280779264,16,-0.11260712412166249,0.43932844506772467,80,-0.11041208902601249,0.4263542912556405,160,0.0990775601944875,0.47717844467558057,160,0.12601041776865002,0.5051453786967415,80,-0.08347923145162499,0.5186197804339446,16
LightGBM_n_estimators=300_learning_rate=0.05_num_leaves=63_subsample=0.8_colsample_bytree=0.8,1,5.233613014221191,0.009718480401827467,0.004131412814629162,0.9997067814080295,0.9998754233868029,0.9726709669747675,0.5774129501033929,0.4791857095468051,-0.22550705723388176,0.0016130036300055738,-0.01019772748084614,0.10927427440769275,0.30694573832276906,0.06381998805388744,0.0477990495650376,0.16332752071352313,0.16502231341238757,0.033657220631362825,0.03944949831802381,0.05559976678600731,0.05714759526318294,0.1618061918721181,0.17492606592587914,-0.1803617565506875,0.3309198028605661,16,-0.11796844158043751,0.4379192777666441,80,-0.03667898740746875,0.4848024810905755,160,0.056055492427106245,0.4880595859535074,160,0.07274608090078752,0.4488446327148976,80,0.0779916437128125,0.36872155166507303,16
LightGBM_n_estimators=300_learning_rate=0.05_num_leaves=63_subsample=0.8_colsample_bytree=0.8,2,5.716419219970703,0.02095048649322073,0.016307215425512223,0.998522804815842,0.9995539225492241,0.9686989807131212,0.5373818493553981,0.42672537269193284,-0.06111497226887619,0.11878972551137028,0.12509933232344023,0.6795812632366314,0.6299199703977043,0.36082005832059766,0.28500951215269993,0.13513420134902654,0.047933566650752095,0.13073260177160217,0.1314257524324482,0.2398013216709315,0.21723871013720525,0.3315785742572867,0.27637619184981893,-0.3607235131008749,0.4328144465144808,16,-0.120152961042525,0.4715428700533662,80,-0.11059702351946873,0.5044147887067139,160,0.06359972777169376,0.5648499128796377,160,0.06955556411786251,0.606792957156803,80,0.2912263485306875,0.5969737696499533,16
LightGBM_n_estimators=300_learning_rate=0.05_num_leaves=63_subsample=0.8_colsample_bytree=0.8,3,6.035943984985352,0.05151843415757476,0.04042401285767733,0.99081515459855,0.9974126282363975,0.9660181394881279,0.4610816341959751,0.3711298891964256,-0.030817096008943334,0.17811088847426876,0.17782738937135878,-0.34812213342591414,-0.36215322997978894,0.12327314501839891,0.2011413697360378,-0.00438220604053036,-0.03000510669680724,0.16268949872129423,0.17233527026585307,0.1552939421566027,0.07134481797314657,0.1298685104424099,0.2648976745624899,-0.1803617565506875,0.3779962375991751,16,-0.08457674899973751,0.4565827289159002,80,-0.13703899964317498,0.43896454693399173,160,0.1626262700359,0.43386505306278605,160,0.201437157398825,0.4636069288406477,80,0.3662111008404375,0.4481449419154672,16
LightGBM_n_estimators=300_learning_rate=0.05_num_leaves=63_subsample=0.8_colsample_bytree=0.8,4,5.969414949417114,0.08048374951291448,0.06364568939178844,0.97586271860835,0.9935562858197304,0.9614396173561368,0.45294422699346854,0.35534386426200065,-0.06816803782757197,0.13017655739027142,0.1490687916507278,-0.40238388435635153,-0.3776097252552696,-0.012267538719473402,0.06445222405891202,0.04377406775015942,0.06769630809228736,-0.08682871568218062,-0.08544402798157438,-0.14075964500930557,-0.20303218620405802,0.16633531070927127,0.22267449592045557,-0.1346642878708125,0.42721070748549533,16,-0.13624742905238751,0.4363290099793982,80,-0.10419606583633127,0.42289399474516043,160,0.054181899578031247,0.5020809479370646,160,0.05291494282606248,0.5206052904530718,80,0.013403293646937486,0.525508925895566,16
LightGBM_n_estimators=300_learning_rate=0.1_num_leaves=31_subsample=0.8_colsample_bytree=0.8,1,2.6460602283477783,0.0025990712505779877,0.0019137950720760927,0.9999790284201563,0.9999912068627747,0.9726709790227824,0.5996281968019694,0.49615122933948724,-0.3216208161086176,-0.009399585140175797,-0.02359572060194495,0.06606966423925553,0.1898141505913242,0.09271117337945577,0.08015374116096859,0.17130336450998862,0.17447063725379686,0.03825925565555849,0.04902835409609085,-0.022164864696241765,-0.023135445698314685,-0.041937319187626665,-0.011488075002801162,-0.2583534002635,0.2583534002635,16,-0.1136941260359875,0.4590818822454848,80,-0.04691599869135625,0.5269957331680812,160,0.044177462638468744,0.4829595286375654,160,0.079701055174725,0.4330539790051543,80,0.032294175032937494,0.3402402463810512,16
LightGBM_n_estimators=300_learning_rate=0.1_num_leaves=31_subsample=0.8_colsample_bytree=0.8,2,2.8127591609954834,0.026897028292580637,0.020290307908805837,0.9975652282264842,0.9991655685131939,0.9686989807131212,0.549063481891864,0.4354108095355568,-0.10774953124395026,0.09106962028233473,0.10346167308703028,0.7590468062193503,0.6843846527656624,0.21260881771051682,0.07728953756588859,0.12994055801637486,0.05353586660894186,-0.01310059693285319,-0.0162627336122361,0.03572274924123375,0.018857269262613323,0.15622982327101761,0.24103384202072906,-0.1669584629035,0.596926418503629,16,-0.11297699310862501,0.5339300580955443,80,-0.09201208909054376,0.5252241071180164,160,0.03672474752098126,0.6035584738087748,160,0.019870514185862508,0.6595581416008236,80,0.065900849427125,0.7541636759106544,16
